file,io_count,io_size_avg,io_size_std,read_write_ratio,response_time_avg,response_time_std
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_1.csv,22462800,6497.297961073419,11320.03521513645,0.0007198568299588654,119237.07960254287,583269.2591387589
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_2.csv,25735934,15087.645739843752,30642.36197696378,0.20810381313536164,104072.36490818636,871251.7983545087
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_3.csv,24188985,26100.82254348415,68019.36532489289,0.5170012301053558,110727.96085598465,7038923593.586903
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_5.csv,22478191,6536.253902638339,11568.5230130489,0.0009095037941442886,119155.48230834056,583984.4111142278
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_6.csv,16546620,27285.780349581968,70288.43780135666,0.3860953475694734,161869.91467737823,669483.0905216557
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_7.csv,265694431,9187.586090669698,34207.316061214085,0.046205454716512294,10080.73819156187,146967.9165590438
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_8.csv,37490499,7833.364847771165,17392.481503255683,0.06529934424185711,71442.0995370587,107908.70784960536
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_9.csv,22682239,13541.590258704178,40560.11666078785,0.01175681995062304,118083.58061362461,332833.4240363042
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_11.csv,10301231,15016.870473829778,16910.768593222343,0.003314652394456546,260007.52432801478,983009.4036176722
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_12.csv,46269497,39282.62628902147,108057.1887294355,0.6948172572526561,57886.94824255384,249611.94440084216
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_13.csv,14729512,37002.66072847491,49162.429092124636,0.01049396612732316,181838.8147713244,834720.1880137885
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_14.csv,12835277,35305.35102094018,94696.68858694837,0.20379318654361725,208674.83308143643,772483.0856287668
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_15.csv,10623010,14492.232775456298,16369.758043267193,0.003169346541140411,252131.47334088926,968554.3008715211
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_16.csv,14867655,36972.921195171664,49404.51312164763,0.010525466188178297,180149.31249850767,829806.294703033
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_17.csv,11733733,6524.085787873305,20115.074541424347,0.019318830588696708,228264.46005981218,1037298.4375327701
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_18.csv,14139817,37298.81659430246,47871.51668932896,0.010443770241156586,189422.32127091885,850835.7892160816
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_19.csv,35895603,7476.676968596961,16619.809930144067,0.04821353746307034,74616.37711627243,115502.1584391393
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_20.csv,14547147,37097.083048930486,48665.971759509994,0.010341202986400014,184118.51022939413,839391.5365893566
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_21.csv,33120813,16855.718136629075,47006.11780160006,3.743869451513766e-06,80867.5563084155,240479.82358741082
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_22.csv,14638747,37048.43846539598,48803.49585249142,0.010597013528548584,182966.42979341059,836612.9543477261
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_23.csv,36946192,6540.3488558712625,12176.81061044101,0.0005223813052235532,72494.56724281625,459117.5282633176
/home/Data-7T-nvme/lzq/alibaba_block_traces_2020/csvfix/device_24.csv,37176282,7716.1442870483925,17323.388770488793,0.0601331784603958,72045.93319229718,110996.82056852012
